state_name,state_median_income,rs_state_median_income,income,pid
Arizona,81.5,0.0014437143917078365,1.5,6. Not very strong Republican
Ohio,72.2,-0.3589529887594117,-0.5,2. Not very strong Democrat
Michigan,72.4,-0.35120252202497887,-0.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,-0.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,0.5,3. Independent (leans Democrat)
Georgia,80,-0.05668478611653726,1.5,2. Not very strong Democrat
South Carolina,72.4,-0.35120252202497887,-0.5,1. Strong Democrat
Washington,99.4,0.6951104871234328,-0.5,3. Independent (leans Democrat)
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
Idaho,81.2,-0.010181985709941072,1.5,7. Strong Republican
Indiana,72,-0.3667034554938444,1.5,6. Not very strong Republican
Kansas,75.5,-0.23107028764127255,1.5,5. Independent (leans Republican)
Pennsylvania,77.5,-0.15356562029694576,0.5,2. Not very strong Democrat
California,100.1,0.7222371206939469,1.5,7. Strong Republican
Ohio,72.2,-0.3589529887594117,-0.5,7. Strong Republican
Illinois,83.2,0.06732268163438572,0.5,6. Not very strong Republican
Massachusetts,104.8,0.9043730889531149,1.5,7. Strong Republican
North Carolina,74,-0.28919878814951766,0.5,1. Strong Democrat
New York,85.8,0.16807874918201032,1.5,7. Strong Republican
Pennsylvania,77.5,-0.15356562029694576,-1.5,3. Independent (leans Democrat)
Colorado,97.1,0.6059801196774566,-0.5,1. Strong Democrat
Tennessee,72,-0.3667034554938444,-0.5,3. Independent (leans Democrat)
Oregon,85.2,0.14482734897871252,-0.5,1. Strong Democrat
Wisconsin,77.5,-0.15356562029694576,1.5,7. Strong Republican
Arizona,81.5,0.0014437143917078365,0.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,1.5,3. Independent (leans Democrat)
Missouri,71.6,-0.38220438896271003,-0.5,7. Strong Republican
Maryland,102.9,0.8307436549760048,1.5,7. Strong Republican
Oregon,85.2,0.14482734897871252,2.5,3. Independent (leans Democrat)
Ohio,72.2,-0.3589529887594117,1.5,6. Not very strong Republican
Arizona,81.5,0.0014437143917078365,1.5,7. Strong Republican
Nevada,81.1,-0.014057219077157743,-1.5,5. Independent (leans Republican)
Minnesota,87.1,0.21845678295582263,0.5,1. Strong Democrat
Illinois,83.2,0.06732268163438572,0.5,5. Independent (leans Republican)
North Carolina,74,-0.28919878814951766,0.5,3. Independent (leans Democrat)
New Jersey,104.3,0.8849969221170332,-1.5,1. Strong Democrat
Massachusetts,104.8,0.9043730889531149,2.5,1. Strong Democrat
New York,85.8,0.16807874918201032,1.5,2. Not very strong Democrat
Michigan,72.4,-0.35120252202497887,1.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,1.5,7. Strong Republican
South Carolina,72.4,-0.35120252202497887,-0.5,5. Independent (leans Republican)
Florida,77.7,-0.14581515356251296,-0.5,5. Independent (leans Republican)
Illinois,83.2,0.06732268163438572,1.5,6. Not very strong Republican
Tennessee,72,-0.3667034554938444,-0.5,1. Strong Democrat
Kentucky,64.5,-0.6573459580350699,1.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,-2.5,4. Independent
North Carolina,74,-0.28919878814951766,1.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,-0.5,2. Not very strong Democrat
Missouri,71.6,-0.38220438896271003,1.5,7. Strong Republican
Kentucky,64.5,-0.6573459580350699,-2.5,1. Strong Democrat
Virginia,92.1,0.41221845131663964,1.5,5. Independent (leans Republican)
Missouri,71.6,-0.38220438896271003,-0.5,2. Not very strong Democrat
North Carolina,74,-0.28919878814951766,1.5,2. Not very strong Democrat
Illinois,83.2,0.06732268163438572,1.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,1.5,5. Independent (leans Republican)
Kentucky,64.5,-0.6573459580350699,-1.5,7. Strong Republican
Alabama,66.7,-0.5720908239563104,0.5,7. Strong Republican
New Jersey,104.3,0.8849969221170332,0.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,-0.5,5. Independent (leans Republican)
Maryland,102.9,0.8307436549760048,0.5,1. Strong Democrat
Ohio,72.2,-0.3589529887594117,-1.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,0.5,1. Strong Democrat
California,100.1,0.7222371206939469,0.5,1. Strong Democrat
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
Ohio,72.2,-0.3589529887594117,0.5,5. Independent (leans Republican)
California,100.1,0.7222371206939469,-1.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,-0.5,7. Strong Republican
Maryland,102.9,0.8307436549760048,0.5,1. Strong Democrat
District of Columbia,109.7,1.0942595239467157,2.5,1. Strong Democrat
Tennessee,72,-0.3667034554938444,1.5,7. Strong Republican
California,100.1,0.7222371206939469,-2.5,4. Independent
California,100.1,0.7222371206939469,-0.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,1.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,1.5,5. Independent (leans Republican)
Idaho,81.2,-0.010181985709941072,-2.5,3. Independent (leans Democrat)
Florida,77.7,-0.14581515356251296,1.5,7. Strong Republican
Oregon,85.2,0.14482734897871252,0.5,1. Strong Democrat
Minnesota,87.1,0.21845678295582263,1.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,2.5,6. Not very strong Republican
California,100.1,0.7222371206939469,1.5,6. Not very strong Republican
Missouri,71.6,-0.38220438896271003,-2.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,0.5,7. Strong Republican
Wisconsin,77.5,-0.15356562029694576,-2.5,5. Independent (leans Republican)
California,100.1,0.7222371206939469,-0.5,5. Independent (leans Republican)
Pennsylvania,77.5,-0.15356562029694576,-1.5,1. Strong Democrat
Missouri,71.6,-0.38220438896271003,0.5,7. Strong Republican
Indiana,72,-0.3667034554938444,1.5,2. Not very strong Democrat
Pennsylvania,77.5,-0.15356562029694576,1.5,5. Independent (leans Republican)
Oregon,85.2,0.14482734897871252,0.5,3. Independent (leans Democrat)
Virginia,92.1,0.41221845131663964,0.5,2. Not very strong Democrat
Florida,77.7,-0.14581515356251296,0.5,7. Strong Republican
Connecticut,96,0.5633525526380772,1.5,5. Independent (leans Republican)
Michigan,72.4,-0.35120252202497887,0.5,1. Strong Democrat
Georgia,80,-0.05668478611653726,0.5,1. Strong Democrat
Colorado,97.1,0.6059801196774566,1.5,5. Independent (leans Republican)
Virginia,92.1,0.41221845131663964,1.5,7. Strong Republican
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
Nebraska,76.4,-0.19619318733632526,-0.5,2. Not very strong Democrat
New Hampshire,99.8,0.7106114205922979,-1.5,4. Independent
California,100.1,0.7222371206939469,0.5,7. Strong Republican
Arizona,81.5,0.0014437143917078365,2.5,7. Strong Republican
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,0.5,1. Strong Democrat
Wisconsin,77.5,-0.15356562029694576,1.5,2. Not very strong Democrat
Florida,77.7,-0.14581515356251296,0.5,2. Not very strong Democrat
California,100.1,0.7222371206939469,-0.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,-0.5,7. Strong Republican
California,100.1,0.7222371206939469,1.5,5. Independent (leans Republican)
Washington,99.4,0.6951104871234328,-1.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,0.5,6. Not very strong Republican
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
New York,85.8,0.16807874918201032,0.5,2. Not very strong Democrat
Pennsylvania,77.5,-0.15356562029694576,1.5,2. Not very strong Democrat
North Carolina,74,-0.28919878814951766,1.5,5. Independent (leans Republican)
California,100.1,0.7222371206939469,2.5,1. Strong Democrat
Georgia,80,-0.05668478611653726,0.5,7. Strong Republican
Colorado,97.1,0.6059801196774566,0.5,2. Not very strong Democrat
Michigan,72.4,-0.35120252202497887,-0.5,7. Strong Republican
New Jersey,104.3,0.8849969221170332,-0.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,-0.5,2. Not very strong Democrat
Indiana,72,-0.3667034554938444,-0.5,3. Independent (leans Democrat)
Ohio,72.2,-0.3589529887594117,-0.5,3. Independent (leans Democrat)
Pennsylvania,77.5,-0.15356562029694576,0.5,7. Strong Republican
California,100.1,0.7222371206939469,2.5,5. Independent (leans Republican)
Kansas,75.5,-0.23107028764127255,-0.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,1.5,7. Strong Republican
Illinois,83.2,0.06732268163438572,1.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,1.5,3. Independent (leans Democrat)
Alabama,66.7,-0.5720908239563104,0.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,1.5,2. Not very strong Democrat
Georgia,80,-0.05668478611653726,1.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,1.5,5. Independent (leans Republican)
Washington,99.4,0.6951104871234328,-0.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,1.5,1. Strong Democrat
Wisconsin,77.5,-0.15356562029694576,-0.5,1. Strong Democrat
Indiana,72,-0.3667034554938444,1.5,5. Independent (leans Republican)
Michigan,72.4,-0.35120252202497887,-0.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,1.5,1. Strong Democrat
Connecticut,96,0.5633525526380772,1.5,5. Independent (leans Republican)
Pennsylvania,77.5,-0.15356562029694576,1.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,-0.5,4. Independent
New Jersey,104.3,0.8849969221170332,1.5,6. Not very strong Republican
New Jersey,104.3,0.8849969221170332,2.5,6. Not very strong Republican
Vermont,82.7,0.04794651479830402,-0.5,1. Strong Democrat
Kentucky,64.5,-0.6573459580350699,-2.5,2. Not very strong Democrat
Michigan,72.4,-0.35120252202497887,0.5,3. Independent (leans Democrat)
Wisconsin,77.5,-0.15356562029694576,1.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,1.5,3. Independent (leans Democrat)
Illinois,83.2,0.06732268163438572,0.5,1. Strong Democrat
Ohio,72.2,-0.3589529887594117,0.5,3. Independent (leans Democrat)
Wisconsin,77.5,-0.15356562029694576,0.5,1. Strong Democrat
Maryland,102.9,0.8307436549760048,2.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,1.5,6. Not very strong Republican
California,100.1,0.7222371206939469,0.5,6. Not very strong Republican
Washington,99.4,0.6951104871234328,0.5,2. Not very strong Democrat
New Jersey,104.3,0.8849969221170332,2.5,5. Independent (leans Republican)
Arizona,81.5,0.0014437143917078365,1.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,-0.5,3. Independent (leans Democrat)
Nebraska,76.4,-0.19619318733632526,1.5,7. Strong Republican
Washington,99.4,0.6951104871234328,0.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,-0.5,1. Strong Democrat
Indiana,72,-0.3667034554938444,1.5,7. Strong Republican
Michigan,72.4,-0.35120252202497887,-0.5,6. Not very strong Republican
Georgia,80,-0.05668478611653726,0.5,7. Strong Republican
New York,85.8,0.16807874918201032,2.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,1.5,7. Strong Republican
North Carolina,74,-0.28919878814951766,-1.5,6. Not very strong Republican
Pennsylvania,77.5,-0.15356562029694576,1.5,2. Not very strong Democrat
New York,85.8,0.16807874918201032,-0.5,4. Independent
New Hampshire,99.8,0.7106114205922979,1.5,3. Independent (leans Democrat)
Indiana,72,-0.3667034554938444,1.5,1. Strong Democrat
New York,85.8,0.16807874918201032,2.5,5. Independent (leans Republican)
Indiana,72,-0.3667034554938444,-2.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,0.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,-2.5,7. Strong Republican
New Jersey,104.3,0.8849969221170332,1.5,1. Strong Democrat
Maryland,102.9,0.8307436549760048,-0.5,4. Independent
Arizona,81.5,0.0014437143917078365,1.5,6. Not very strong Republican
Arizona,81.5,0.0014437143917078365,-0.5,3. Independent (leans Democrat)
Florida,77.7,-0.14581515356251296,1.5,7. Strong Republican
Arizona,81.5,0.0014437143917078365,-1.5,3. Independent (leans Democrat)
Minnesota,87.1,0.21845678295582263,-1.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,1.5,1. Strong Democrat
North Carolina,74,-0.28919878814951766,1.5,6. Not very strong Republican
Florida,77.7,-0.14581515356251296,-2.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,0.5,6. Not very strong Republican
Illinois,83.2,0.06732268163438572,1.5,5. Independent (leans Republican)
Colorado,97.1,0.6059801196774566,-1.5,3. Independent (leans Democrat)
South Carolina,72.4,-0.35120252202497887,2.5,3. Independent (leans Democrat)
New Mexico,67.8,-0.5294632569169309,0.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,1.5,2. Not very strong Democrat
Colorado,97.1,0.6059801196774566,1.5,5. Independent (leans Republican)
Pennsylvania,77.5,-0.15356562029694576,-0.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,1.5,5. Independent (leans Republican)
Ohio,72.2,-0.3589529887594117,1.5,3. Independent (leans Democrat)
Indiana,72,-0.3667034554938444,-0.5,7. Strong Republican
California,100.1,0.7222371206939469,-0.5,3. Independent (leans Democrat)
Oklahoma,66.1,-0.5953422241596087,2.5,6. Not very strong Republican
Massachusetts,104.8,0.9043730889531149,0.5,3. Independent (leans Democrat)
Texas,79.7,-0.06831048621818617,0.5,1. Strong Democrat
Alabama,66.7,-0.5720908239563104,2.5,7. Strong Republican
Kansas,75.5,-0.23107028764127255,-1.5,1. Strong Democrat
Maryland,102.9,0.8307436549760048,1.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,-0.5,3. Independent (leans Democrat)
Washington,99.4,0.6951104871234328,1.5,5. Independent (leans Republican)
Illinois,83.2,0.06732268163438572,0.5,2. Not very strong Democrat
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
Illinois,83.2,0.06732268163438572,1.5,2. Not very strong Democrat
Minnesota,87.1,0.21845678295582263,-1.5,5. Independent (leans Republican)
Ohio,72.2,-0.3589529887594117,-2.5,4. Independent
Arizona,81.5,0.0014437143917078365,1.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,0.5,1. Strong Democrat
Alabama,66.7,-0.5720908239563104,1.5,7. Strong Republican
Pennsylvania,77.5,-0.15356562029694576,0.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,1.5,3. Independent (leans Democrat)
Pennsylvania,77.5,-0.15356562029694576,0.5,3. Independent (leans Democrat)
Florida,77.7,-0.14581515356251296,1.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,-0.5,5. Independent (leans Republican)
Illinois,83.2,0.06732268163438572,1.5,5. Independent (leans Republican)
Florida,77.7,-0.14581515356251296,-1.5,7. Strong Republican
South Carolina,72.4,-0.35120252202497887,1.5,7. Strong Republican
Michigan,72.4,-0.35120252202497887,1.5,1. Strong Democrat
New Hampshire,99.8,0.7106114205922979,1.5,3. Independent (leans Democrat)
Pennsylvania,77.5,-0.15356562029694576,-2.5,5. Independent (leans Republican)
Connecticut,96,0.5633525526380772,0.5,1. Strong Democrat
Idaho,81.2,-0.010181985709941072,1.5,5. Independent (leans Republican)
Montana,75.3,-0.23882075437570532,-0.5,4. Independent
Arkansas,62.1,-0.750351558848262,1.5,7. Strong Republican
Wisconsin,77.5,-0.15356562029694576,-0.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,0.5,1. Strong Democrat
Indiana,72,-0.3667034554938444,1.5,2. Not very strong Democrat
Indiana,72,-0.3667034554938444,-1.5,1. Strong Democrat
Florida,77.7,-0.14581515356251296,1.5,4. Independent
Pennsylvania,77.5,-0.15356562029694576,-0.5,6. Not very strong Republican
Tennessee,72,-0.3667034554938444,0.5,6. Not very strong Republican
Alabama,66.7,-0.5720908239563104,-0.5,7. Strong Republican
New York,85.8,0.16807874918201032,-1.5,1. Strong Democrat
Kansas,75.5,-0.23107028764127255,-0.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,-2.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,0.5,2. Not very strong Democrat
Texas,79.7,-0.06831048621818617,1.5,3. Independent (leans Democrat)
Ohio,72.2,-0.3589529887594117,-1.5,1. Strong Democrat
Idaho,81.2,-0.010181985709941072,0.5,7. Strong Republican
Virginia,92.1,0.41221845131663964,-1.5,1. Strong Democrat
Maine,76.4,-0.19619318733632526,-0.5,5. Independent (leans Republican)
Idaho,81.2,-0.010181985709941072,0.5,4. Independent
Washington,99.4,0.6951104871234328,1.5,2. Not very strong Democrat
Maryland,102.9,0.8307436549760048,-1.5,7. Strong Republican
Pennsylvania,77.5,-0.15356562029694576,-0.5,1. Strong Democrat
New York,85.8,0.16807874918201032,-2.5,4. Independent
Wisconsin,77.5,-0.15356562029694576,1.5,7. Strong Republican
Utah,96.7,0.5904791862085916,1.5,7. Strong Republican
California,100.1,0.7222371206939469,-2.5,2. Not very strong Democrat
Florida,77.7,-0.14581515356251296,-0.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,-2.5,7. Strong Republican
Michigan,72.4,-0.35120252202497887,-1.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,2.5,5. Independent (leans Republican)
New Hampshire,99.8,0.7106114205922979,0.5,3. Independent (leans Democrat)
Illinois,83.2,0.06732268163438572,1.5,3. Independent (leans Democrat)
New Jersey,104.3,0.8849969221170332,2.5,4. Independent
Washington,99.4,0.6951104871234328,0.5,1. Strong Democrat
New York,85.8,0.16807874918201032,0.5,1. Strong Democrat
Georgia,80,-0.05668478611653726,1.5,5. Independent (leans Republican)
Colorado,97.1,0.6059801196774566,2.5,2. Not very strong Democrat
Washington,99.4,0.6951104871234328,2.5,4. Independent
Maryland,102.9,0.8307436549760048,1.5,7. Strong Republican
West Virginia,60.8,-0.8007295926220745,1.5,7. Strong Republican
Alabama,66.7,-0.5720908239563104,0.5,1. Strong Democrat
Oregon,85.2,0.14482734897871252,1.5,1. Strong Democrat
Arizona,81.5,0.0014437143917078365,0.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,-0.5,3. Independent (leans Democrat)
Kansas,75.5,-0.23107028764127255,-0.5,2. Not very strong Democrat
Tennessee,72,-0.3667034554938444,0.5,3. Independent (leans Democrat)
Arizona,81.5,0.0014437143917078365,1.5,7. Strong Republican
Tennessee,72,-0.3667034554938444,1.5,7. Strong Republican
Colorado,97.1,0.6059801196774566,1.5,1. Strong Democrat
Georgia,80,-0.05668478611653726,1.5,7. Strong Republican
Florida,77.7,-0.14581515356251296,0.5,6. Not very strong Republican
California,100.1,0.7222371206939469,-0.5,7. Strong Republican
Georgia,80,-0.05668478611653726,-0.5,7. Strong Republican
Oklahoma,66.1,-0.5953422241596087,1.5,5. Independent (leans Republican)
Ohio,72.2,-0.3589529887594117,0.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,-0.5,3. Independent (leans Democrat)
Arizona,81.5,0.0014437143917078365,2.5,1. Strong Democrat
Kansas,75.5,-0.23107028764127255,-0.5,5. Independent (leans Republican)
Tennessee,72,-0.3667034554938444,1.5,6. Not very strong Republican
California,100.1,0.7222371206939469,2.5,2. Not very strong Democrat
Wisconsin,77.5,-0.15356562029694576,1.5,1. Strong Democrat
Massachusetts,104.8,0.9043730889531149,2.5,1. Strong Democrat
Texas,79.7,-0.06831048621818617,0.5,7. Strong Republican
New York,85.8,0.16807874918201032,2.5,3. Independent (leans Democrat)
South Carolina,72.4,-0.35120252202497887,-0.5,7. Strong Republican
California,100.1,0.7222371206939469,2.5,2. Not very strong Democrat
New Mexico,67.8,-0.5294632569169309,0.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,2.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,-0.5,7. Strong Republican
Minnesota,87.1,0.21845678295582263,1.5,6. Not very strong Republican
Massachusetts,104.8,0.9043730889531149,-0.5,7. Strong Republican
Maryland,102.9,0.8307436549760048,-0.5,1. Strong Democrat
California,100.1,0.7222371206939469,1.5,3. Independent (leans Democrat)
Florida,77.7,-0.14581515356251296,2.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,-1.5,5. Independent (leans Republican)
Georgia,80,-0.05668478611653726,-2.5,6. Not very strong Republican
Connecticut,96,0.5633525526380772,0.5,6. Not very strong Republican
Missouri,71.6,-0.38220438896271003,1.5,6. Not very strong Republican
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
Oklahoma,66.1,-0.5953422241596087,1.5,5. Independent (leans Republican)
New York,85.8,0.16807874918201032,2.5,5. Independent (leans Republican)
Tennessee,72,-0.3667034554938444,-0.5,4. Independent
Florida,77.7,-0.14581515356251296,1.5,2. Not very strong Democrat
North Carolina,74,-0.28919878814951766,-0.5,1. Strong Democrat
Pennsylvania,77.5,-0.15356562029694576,1.5,1. Strong Democrat
Illinois,83.2,0.06732268163438572,0.5,3. Independent (leans Democrat)
Idaho,81.2,-0.010181985709941072,1.5,5. Independent (leans Republican)
Colorado,97.1,0.6059801196774566,0.5,7. Strong Republican
New Jersey,104.3,0.8849969221170332,1.5,4. Independent
New Jersey,104.3,0.8849969221170332,1.5,5. Independent (leans Republican)
Indiana,72,-0.3667034554938444,-0.5,5. Independent (leans Republican)
Texas,79.7,-0.06831048621818617,-2.5,4. Independent
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
New York,85.8,0.16807874918201032,-2.5,6. Not very strong Republican
Iowa,75.5,-0.23107028764127255,2.5,5. Independent (leans Republican)
Florida,77.7,-0.14581515356251296,-1.5,6. Not very strong Republican
California,100.1,0.7222371206939469,1.5,7. Strong Republican
Massachusetts,104.8,0.9043730889531149,0.5,5. Independent (leans Republican)
District of Columbia,109.7,1.0942595239467157,0.5,2. Not very strong Democrat
Florida,77.7,-0.14581515356251296,1.5,1. Strong Democrat
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
New York,85.8,0.16807874918201032,0.5,6. Not very strong Republican
New York,85.8,0.16807874918201032,1.5,1. Strong Democrat
Maryland,102.9,0.8307436549760048,1.5,2. Not very strong Democrat
Washington,99.4,0.6951104871234328,2.5,2. Not very strong Democrat
New Jersey,104.3,0.8849969221170332,0.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,1.5,7. Strong Republican
North Carolina,74,-0.28919878814951766,1.5,1. Strong Democrat
Michigan,72.4,-0.35120252202497887,1.5,3. Independent (leans Democrat)
California,100.1,0.7222371206939469,1.5,1. Strong Democrat
South Carolina,72.4,-0.35120252202497887,-2.5,4. Independent
Maryland,102.9,0.8307436549760048,0.5,1. Strong Democrat
Tennessee,72,-0.3667034554938444,1.5,5. Independent (leans Republican)
Indiana,72,-0.3667034554938444,1.5,6. Not very strong Republican
Missouri,71.6,-0.38220438896271003,-0.5,3. Independent (leans Democrat)
Vermont,82.7,0.04794651479830402,0.5,1. Strong Democrat
Maryland,102.9,0.8307436549760048,1.5,7. Strong Republican
Texas,79.7,-0.06831048621818617,1.5,3. Independent (leans Democrat)
Ohio,72.2,-0.3589529887594117,-1.5,7. Strong Republican
Virginia,92.1,0.41221845131663964,1.5,3. Independent (leans Democrat)
Michigan,72.4,-0.35120252202497887,0.5,3. Independent (leans Democrat)
North Carolina,74,-0.28919878814951766,1.5,2. Not very strong Democrat
Kentucky,64.5,-0.6573459580350699,1.5,2. Not very strong Democrat
Idaho,81.2,-0.010181985709941072,1.5,5. Independent (leans Republican)
Washington,99.4,0.6951104871234328,-0.5,5. Independent (leans Republican)
