DURAT	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	ICELAND	IRELAND	ISRAEL	ITALY	NETHER	NORWAY	PORTUG	SPAIN	SWEDEN	UK	T	POPINFL	OPPINFL	ROPINFL	PROX	IDENT	VOLAT	RESPONSE	INVEST	POLAR	FRACT	NUMST2	PARLBAS	CRISIS	FORMAT	OPPCONC	ELTIME2	ELTIMEB	ELTIMEN	CARETK2	NONPART	ELECTC	ELECTM	SINGPAR	EXTSUP	SALIEN	OPPCON2	OPPCOND	NP	DECPROX	CIEP12	CIEP24	CIEPTW
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	3	1	24	762	0	48	65	5	-0.61702001	1	0	0	0	0	0	0	0	0	261.27451	0.55769002	0	4.2016802	50	1	1	1
33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	2	1	24	762	1	59	0	1	-0.5	0	0	1	0	0	0	0	0	0	261.27451	0.70731997	0	4.2016802	50	1	0	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	3	1	24	762	0	49	0	2	-0.72917002	0	1	0	1	0	1	0	0	0	261.27451	0.68627	0	4.2016802	50	1	1	1
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	3	1	17	735	1	81	46	2	-0.1875	1	0	0	0	0	0	0	0	0	261.27451	0.78947002	0	3.7735901	50	1	1	1
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	3	1	17	753	1	81	9	1	-0.1875	0	1	0	1	0	1	0	0	0	261.27451	0.78947002	0	4.0485802	50	1	1	1
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	71	4	1	17	850	1	71	106	8	-0.34286001	1	0	0	0	0	0	0	0	0	261.27451	0.82758999	0	6.6666698	50	1	1	1
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	3	1	17	850	1	66	7	1	-0.36923	0	0	1	0	0	0	0	0	0	232.10785	0.70587999	0	6.6666698	43	1	1	1
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	4	1	17	850	1	80	39	2	-0.12658	0	0	1	0	0	0	0	0	0	232.10785	0.5	0	6.6666698	43	1	1	1
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	3	1	17	850	1	66	18	2	-0.36923	0	0	1	0	0	0	0	0	0	232.10785	0.70587999	0	6.6666698	43	1	1	1
6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	3	1	17	850	1	66	6	1	-0.36923	0	1	0	0	0	0	0	0	0	232.10785	0.70587999	0	6.6666698	43	1	1	1
45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	3	1	15	868	1	53	87	4	-0.59614998	1	0	0	0	0	0	0	0	0	232.10785	0.65956998	0	7.5757599	43	0	0	0
23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	45	1	97	3	1	9	857	1	54	46	1	-0.60377002	1	0	0	0	0	0	0	0	0	232.10785	0.69564998	0	6.99301	43	1	1	1
41	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	227	1	0	1	648	0	48	0	1	-0.68085003	1	0	0	0	0	0	0	1	0	388.57843	0.61537999	0	2.84091	67	1	0	1
7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	227	1	0	1	648	1	51	0	1	-0.66000003	0	1	0	0	0	1	1	1	0	388.57843	0.67347002	0	2.84091	67	1	1	1
49	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	227	5	0	0	428	1	73	0	1	-0.26389	1	0	0	0	0	1	1	1	0	388.57843	0.70370001	0	1.74825	67	0	0	0
46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	236	5	0	0	536	1	64	0	1	-0.39682999	1	0	0	0	0	1	0	1	0	526.07843	0.69444001	0	2.15517	100	1	0	1
9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	236	5	0	0	650	0	41	4	1	-1.45	1	0	0	0	0	1	1	1	0	526.07843	0.98304999	0	2.8571401	100	1	1	1
51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	236	5	0	0	349	1	78	0	1	-0.27272999	1	0	0	0	0	1	0	1	0	526.07843	0.95455003	0	1.5361	100	0	0	0
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	1	0	0	648	0	43	0	1	-1.33333	1	0	0	0	0	0	0	1	0	442.74509	0.98246002	0	2.84091	80	1	1	1
32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	622	0	48	5	1	-0.93616998	1	0	0	0	0	1	0	1	0	442.74509	0.84614998	0	2.6454999	80	1	1	1
28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	614	0	49	0	1	-0.79167002	1	0	0	0	0	0	0	1	0	442.74509	0.74510002	0	2.5906701	80	1	1	1
3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	614	0	49	0	1	-0.79167002	1	0	0	0	0	1	1	1	0	442.74509	0.74510002	0	2.5906701	80	1	1	1
53	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	571	1	58	1	1	-0.47367999	1	0	0	0	0	1	0	1	0	442.74509	0.64286	0	2.3310001	80	0	0	0
17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	1	0	0	648	0	41	0	1	-1.15	1	0	0	0	0	0	0	1	0	526.07843	0.77965999	0	2.84091	100	1	1	1
59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	583	1	53	62	1	-0.76923001	1	0	0	0	0	1	0	1	0	526.07843	0.85105997	0	2.3980801	100	0	0	0
9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	161	5	0	0	602	0	48	0	1	-1.0851099	1	0	0	0	0	0	0	1	0	526.07843	0.98076999	0	2.5125599	100	1	1	1
52	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	261	5	0	0	582	1	52	0	1	-0.70587999	1	0	0	0	0	0	0	1	0	388.57843	0.75	0	2.3923399	67	0	0	0
3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	93	3	261	5	0	0	582	1	52	0	1	-0.70587999	0	1	0	0	0	1	0	1	0	388.57843	0.75	0	2.3923399	67	1	1	1
23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	175	5	0	12	777	0	25	14	3	-1.91667	1	0	0	0	0	0	0	1	1	499.01962	0.61333001	0	4.4843001	100	1	1	1
33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	175	5	0	6	719	0	38	40	1	-1.48649	1	0	0	0	0	0	0	1	0	499.01962	0.88709998	0	3.5587201	100	1	0	1
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	5	0	5	749	0	39	36	5	-1.4473701	1	0	0	0	0	0	0	1	0	361.51962	0.90164	0	3.98406	67	1	1	1
30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	3	0	5	749	0	39	1	1	-1.57895	0	1	0	0	0	1	1	0	0	361.51962	0.98360997	0	3.98406	67	1	0	1
5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	3	0	5	740	0	39	0	1	-1.57895	1	0	0	0	0	1	0	0	0	361.51962	0.98360997	0	3.8461499	67	1	1	1
16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	5	0	5	725	0	42	3	3	-1.26829	1	0	0	0	0	0	1	1	0	361.51962	0.89655	0	3.6363599	67	1	1	1
27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	5	0	5	725	0	42	3	1	-1.26829	0	1	0	0	0	1	0	1	0	361.51962	0.89655	0	3.6363599	67	1	0	1
33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	57	3	0	3	735	1	53	12	1	-0.80769002	1	0	0	0	0	0	1	0	0	361.51962	0.89362001	0	3.7735901	67	1	0	1
9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	3	0	3	735	1	53	2	1	-0.80769002	0	1	0	0	0	1	0	0	0	361.51962	0.89362001	0	3.7735901	67	1	1	1
22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	3	0	6	722	0	49	2	1	-0.89582998	1	0	0	0	0	0	0	0	1	361.51962	0.84314001	0	3.59712	67	1	1	1
25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	3	0	6	722	0	49	0	1	-0.89582998	0	1	0	0	0	1	0	0	1	361.51962	0.84314001	0	3.59712	67	1	0	1
25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	3	0	6	715	0	43	3	8	-1.19048	1	0	0	0	0	1	0	1	0	361.51962	0.87718999	0	3.50877	67	1	0	1
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	1	0	11	748	0	39	26	4	-1.28947	1	0	0	0	0	0	0	1	0	361.51962	0.80328	0	3.96825	67	1	1	1
44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	3	96	4	0	9	764	1	56	8	1	-0.80000001	1	0	0	0	0	1	0	0	0	361.51962	1	1	4.2372899	67	0	0	0
12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	5	0	10	746	0	40	14	2	-1.28205	1	0	0	0	0	0	0	1	0	378.18628	0.83332998	0	3.93701	71	1	1	1
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	5	0	10	746	0	40	2	1	-1.28205	0	1	0	0	0	1	0	1	0	378.18628	0.83332998	0	3.93701	71	1	1	1
13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	1	0	26	855	0	12	14	4	-5.2727299	1	0	0	0	0	0	0	1	0	378.18628	0.65908998	0	6.8965502	71	1	1	1
24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	5	0	25	815	0	30	15	4	-2	1	0	0	0	0	1	0	1	0	378.18628	0.82857001	0	5.4054098	71	1	1	1
18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	5	0	26	811	0	37	0	2	-1.44444	1	0	0	0	0	0	0	1	0	378.18628	0.82539999	0	5.2910099	71	1	1	1
13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	3	0	26	811	0	49	0	1	-0.54167002	0	1	0	0	0	0	0	0	0	378.18628	0.50980002	0	5.2910099	71	1	1	1
29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	179	5	0	21	791	0	38	28	1	-1.3783799	1	0	0	0	0	0	0	1	0	378.18628	0.82257998	0	4.7846899	71	1	0	1
8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	116	1	0	21	817	0	33	48	2	-1.625	1	0	0	0	0	0	0	1	0	290.68628	0.77612001	0	5.4644799	50	1	1	1
16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	116	3	0	24	817	0	37	7	2	-1.4722199	0	1	0	0	0	0	1	0	0	186.51961	0.84127003	0	5.4644799	25	1	1	1
43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	70	2	116	3	0	18	802	0	44	14	1	-1.06977	1	0	0	0	0	1	0	0	1	186.51961	0.82143003	0	5.0504999	25	0	0	0
28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	80	2	0	25	791	1	81	20	1	-0.22499999	0	1	0	0	0	1	0	0	0	240.09804	0.94736999	0	4.7846899	50	1	0	1
19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	80	5	0	19	780	0	27	7	3	-2.03846	1	0	0	0	0	0	1	1	0	240.09804	0.72602999	0	4.5454502	50	1	1	1
10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	3	0	19	780	0	37	16	2	-1.2777801	0	0	1	0	0	0	0	0	0	135.93137	0.73016	0	4.5454502	25	1	1	1
2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	4	0	19	780	1	64	0	1	-0.30159	0	1	0	0	0	0	0	0	0	135.93137	0.52778	0	4.5454502	25	1	1	1
21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	2	0	22	791	1	59	183	1	-0.36206999	1	0	0	0	0	0	0	0	0	135.93137	0.5122	0	4.7846899	25	1	1	1
4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	3	0	22	791	0	33	12	2	-1.5	0	0	1	0	0	0	0	0	0	135.93137	0.71641999	0	4.7846899	25	1	1	1
5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	3	0	22	788	1	72	148	3	-0.29576999	1	0	0	0	0	0	0	0	0	135.93137	0.75	0	4.71698	25	1	1	1
16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	5	0	22	788	1	53	6	1	-0.48076999	0	0	1	0	0	0	1	0	0	135.93137	0.53191	0	4.71698	25	1	1	1
15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	4	0	22	788	1	66	14	1	-0.32308	0	0	1	0	0	0	0	0	0	135.93137	0.61764997	0	4.71698	25	1	1	1
1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	4	0	22	788	0	39	5	1	-1.26316	0	0	1	0	0	0	0	0	0	135.93137	0.78688997	0	4.71698	25	1	1	1
2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	5	0	22	788	0	33	0	1	-1.5	0	0	1	0	0	0	0	0	0	135.93137	0.71641999	0	4.71698	25	1	1	1
2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	5	0	22	788	0	34	0	1	-1.42424	0	0	1	0	0	0	0	0	0	135.93137	0.71212	0	4.71698	25	1	1	1
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	2	0	25	795	1	73	0	5	-0.36111	1	0	0	0	0	0	0	0	0	135.93137	0.96296	0	4.8780499	25	1	1	1
30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	58	1	0	25	795	0	24	40	2	-1.13043	0	0	1	0	0	0	0	1	1	135.93137	0.34211001	0	4.8780499	25	1	0	1
8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	90	1	0	25	795	0	24	16	1	-1.13043	0	1	0	0	0	1	0	1	1	198.43137	0.34211001	0	4.8780499	40	1	1	1
20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	90	5	0	24	803	1	66	44	3	-0.50769001	1	0	0	0	0	0	0	0	0	198.43137	0.97059	0	5.0761399	40	1	1	1
19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	90	5	0	24	803	1	56	1	2	-0.80000001	0	1	0	0	0	1	0	0	0	198.43137	1	1	5.0761399	40	1	1	1
21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	90	3	0	21	799	1	76	43	2	-0.31999999	1	0	0	0	0	0	1	0	0	198.43137	1	1	4.9751201	40	1	1	1
24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	90	2	0	21	799	1	82	21	3	-0.20987999	0	1	0	0	0	1	0	0	0	198.43137	0.94444001	0	4.9751201	40	1	1	1
8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	1	0	27	821	1	72	0	3	-0.39436999	0	0	1	0	0	0	0	0	0	215.09804	1	1	5.5865898	44	1	1	1
7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	1	0	27	821	1	54	9	1	-0.52829999	0	0	1	0	0	0	0	0	0	215.09804	0.60869998	0	5.5865898	44	1	1	1
5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	5	0	28	818	0	27	0	3	-2.07692	1	0	0	0	0	0	0	1	0	215.09804	0.73973	0	5.4945102	44	1	1	1
33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	2	0	28	818	1	53	47	3	-0.53846002	0	0	1	0	0	0	0	0	0	215.09804	0.59574002	0	5.4945102	44	1	0	1
10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	4	0	21	812	1	76	0	3	-0.31999999	1	0	0	0	0	0	0	0	0	215.09804	1	1	5.31915	44	1	1	1
7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	5	0	21	812	0	29	12	1	-1.67857	0	0	1	1	0	0	0	0	0	215.09804	0.66197002	0	5.31915	44	1	1	1
9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	4	0	21	812	1	76	4	1	-0.31999999	0	0	1	0	0	0	0	0	0	215.09804	1	1	5.31915	44	1	1	1
13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	4	0	21	812	1	71	13	2	-0.41429001	0	1	0	0	0	1	0	0	0	215.09804	1	1	5.31915	44	1	1	1
32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	89	1	0	21	808	1	66	69	3	-0.50769001	1	0	0	0	0	0	1	0	0	215.09804	0.97059	0	5.2083302	44	1	0	1
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	95	1	0	21	808	1	66	16	1	-0.50769001	0	0	1	0	0	0	0	0	0	240.09804	0.97059	0	5.2083302	50	1	1	1
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	95	1	0	21	808	0	49	1	1	-0.64582998	0	1	0	1	0	1	0	0	1	240.09804	0.60784	0	5.2083302	50	1	1	1
47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	27	1	95	4	0	22	805	1	62	25	1	-0.39344001	1	0	0	0	0	1	0	0	0	240.09804	0.63158	0	5.1282101	50	0	0	0
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	4	1	28	788	1	77	11	1	-0.28946999	1	0	0	0	0	1	0	0	0	90.294121	0.95652002	0	4.71698	18	1	1	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	1	1	31	788	0	16	18	6	-3.26667	1	0	0	1	0	0	1	1	0	90.294121	0.58332998	0	4.71698	18	1	1	1
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	4	1	31	788	1	84	2	2	-0.13253	0	0	1	0	0	0	0	0	0	90.294121	0.6875	0	4.71698	18	1	1	1
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	3	1	31	788	1	54	5	1	-0.54716998	0	0	1	0	0	0	0	0	0	90.294121	0.63042998	0	4.71698	18	1	1	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	3	1	31	788	1	54	0	1	-0.54716998	0	0	1	0	0	0	0	0	0	90.294121	0.63042998	0	4.71698	18	1	1	1
8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	2	1	31	788	1	54	5	4	-0.54716998	0	0	1	0	0	0	0	0	0	90.294121	0.63042998	0	4.71698	18	1	1	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	3	1	31	788	1	54	7	1	-0.54716998	0	0	1	0	0	0	0	0	1	90.294121	0.63042998	0	4.71698	18	1	1	1
0.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	3	1	31	788	1	54	9	3	-0.54716998	0	0	1	0	0	0	0	0	0	90.294121	0.63042998	0	4.71698	18	1	1	1
13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	2	1	31	788	1	60	4	2	-0.49153	0	0	1	0	0	0	0	0	0	90.294121	0.72500002	0	4.71698	18	1	1	1
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	72	2	1	31	788	1	54	23	3	-0.54716998	0	0	1	0	0	0	0	0	0	90.294121	0.63042998	0	4.71698	18	1	1	1
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	2	1	31	788	0	38	3	1	-1.21622	0	0	1	0	0	0	0	0	0	61.127449	0.72580999	0	4.71698	11	1	1	1
0.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	3	1	31	788	0	42	8	5	-1.09756	0	0	1	0	0	0	0	0	0	61.127449	0.77586001	0	4.71698	11	1	1	1
7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	2	1	31	788	1	59	8	3	-0.5	0	0	1	0	0	0	0	0	0	61.127449	0.70731997	0	4.71698	11	1	1	1
4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	2	1	31	788	1	59	10	5	-0.5	0	1	0	0	0	1	0	0	0	61.127449	0.70731997	0	4.71698	11	1	1	1
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	4	1	27	842	0	43	41	6	-0.45238	1	0	0	0	0	0	0	0	1	61.127449	0.33333001	0	6.3291101	11	1	1	1
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	4	1	27	842	0	43	13	5	-0.78570998	0	0	1	0	0	0	0	0	0	61.127449	0.57894999	0	6.3291101	11	1	1	1
10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	4	1	27	842	0	43	8	3	-0.78570998	0	0	1	0	0	0	0	0	0	61.127449	0.57894999	0	6.3291101	11	1	1	1
4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	4	1	27	842	0	43	16	4	-0.78570998	0	0	1	0	0	0	0	0	1	61.127449	0.57894999	0	6.3291101	11	1	1	1
11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	3	4	13	1	242	4	1	27	842	1	62	38	8	-0.54097998	0	0	1	0	0	0	0	0	0	61.127449	0.86842	0	6.3291101	11	1	1	1
